Id,Original Principal Amount,Cancelled Amount,Due to the banque,Credit Status
488,50000000.0,0.0,15750000.0,Disbursed
489,3800000.0,0.0,0.0,Repaid
490,6000000.0,0.0,0.0,Repaid
491,7000000.0,53253.52,0.0,Repaid
492,10000000.0,821907.73,8536892.27,Disbursed
493,10000000.0,0.0,0.0,Repaid
494,6250000.0,0.0,1968750.0,Disbursed
495,2300000.0,242955.38,647999.62,Disbursed
496,35000000.0,534247.63,10856712.06,Disbursed
497,5072991.34,0.0,0.0,Repaid
498,12000000.0,0.0,3780000.0,Disbursed
499,10000000.0,0.0,3750000.0,Disbursed
500,7800000.0,0.0,2457000.0,Disbursed
501,4000000.0,1113495.64,905744.36,Disbursed
502,3000000.0,0.0,945.0,Disbursed
503,9500000.0,0.0,3135000.0,Disbursed
504,5000000.0,0.0,0.0,Repaid
505,150000000.0,0.0,47250000.0,Disbursed
506,6300000.0,0.0,0.0,Repaid
507,10700000.0,0.0,4734750.0,Disbursed
508,21500000.0,9019200.17,3923549.83,Disbursed
509,10000000.0,0.0,0.0,Repaid
510,16000000.0,1381888.81,4828511.19,Disbursed
511,6500000.0,0.0,2145000.0,Disbursed
512,50000000.0,0.0,15750000.0,Disbursed
513,30000000.0,668110.28,9236768.72,Disbursed
514,17000000.0,217355.29,5286344.71,Disbursed
515,20000000.0,11894.02,6296253.37,Disbursed
516,10000000.0,919202.58,0.0,Repaid
517,12000000.0,379585.4,0.0,Repaid
518,20000000.0,615110.12,6397035.88,Disbursed
519,6000000.0,764.41,0.0,Repaid
520,7500000.0,0.0,2362500.0,Disbursed
521,8000000.0,47823.15,2503735.85,Disbursed
522,3500000.0,84764.78,1075285.22,Disbursed
523,8000000.0,0.0,0.0,Repaid
524,16000000.0,28292.26,5040000.0,Disbursed
525,24000000.0,507481.17,7398918.83,Disbursed
526,5400000.0,0.0,1782000.0,Disbursed
527,8500000.0,0.0,0.0,Repaid
528,8000000.0,0.0,0.0,Repaid
529,4000000.0,44846.23,1305200.59,Disbursed
530,7500000.0,0.0,2362500.0,Disbursed
531,10400000.0,41279.77,0.0,Repaid
532,2000000.0,645249.55,0.0,Repaid
533,3500000.0,0.0,1102500.0,Disbursed
534,83000000.0,0.0,27390000.0,Disbursed
535,6000000.0,0.0,0.0,Repaid
536,9000000.0,4868486.02,1365513.98,Disbursed
537,6000000.0,3071717.93,966282.07,Disbursed
538,9600000.0,0.0,0.0,Repaid
539,10200000.0,857411.54,0.0,Repaid
540,10000000.0,0.0,0.0,Repaid
541,11000000.0,57689.5,3610962.42,Disbursed
542,36000000.0,0.0,11880000.0,Disbursed
543,8000000.0,84270.82,7408189.18,Disbursed
544,15000000.0,0.0,4950000.0,Disbursed
545,9000000.0,0.0,0.0,Repaid
546,30000000.0,0.0,9900000.0,Disbursed
547,50000000.0,0.0,16500000.0,Disbursed
548,25000000.0,0.0,8250000.0,Disbursed
549,9500000.0,8473812.44,0.0,Repaid
550,6000000.0,0.0,2070000.0,Disbursed
551,5000000.0,33815.99,1638774.01,Disbursed
552,3000000.0,55668.97,0.0,Repaid
553,91000000.0,0.0,31395000.0,Disbursed
554,27700000.0,4384983.05,7693966.95,Disbursed
555,16400000.0,0.0,5412000.0,Disbursed
556,10000000.0,0.0,0.0,Repaid
557,35000000.0,0.0,12075000.0,Disbursed
558,6750000.0,0.0,0.0,Repaid
559,35000000.0,0.0,12075000.0,Disbursed
560,33000000.0,0.0,11385000.0,Disbursed
561,29000000.0,259848.47,9914037.53,Disbursed
562,100000000.0,0.0,34500000.0,Disbursed
563,100000000.0,0.0,34500000.0,Disbursed
564,37452426.66,0.0,12359278.66,Disbursed
565,15000000.0,352616.02,0.0,Repaid
566,13600000.0,0.0,0.0,Repaid
567,45000000.0,0.0,15525000.0,Disbursed
568,15000000.0,0.0,5175000.0,Disbursed
569,6000000.0,0.0,2070000.0,Disbursed
570,4400000.0,0.0,1518000.0,Disbursed
571,26000000.0,0.0,0.0,Repaid
572,7500000.0,2327765.0,1784444.0,Disbursed
573,13300000.0,0.0,0.0,Repaid
574,13000000.0,35734.54,0.0,Repaid
575,75000000.0,0.0,25875000.0,Disbursed
576,34000000.0,0.0,11730000.0,Disbursed
577,27000000.0,8717983.4,6287484.6,Disbursed
578,8000000.0,0.0,2880000.0,Disbursed
579,4000000.0,0.0,0.0,Repaid
580,10000000.0,0.0,3450000.0,Disbursed
581,30000000.0,508037.9,10175162.1,Disbursed
582,10000000.0,0.0,9050000.0,Disbursed
583,30000000.0,592966.68,10586531.92,Disbursed
584,7000000.0,0.0,0.0,Repaid
585,8500000.0,0.0,0.0,Repaid
586,21000000.0,0.0,7245000.0,Disbursed
587,32000000.0,0.0,0.0,Repaid
588,23000000.0,0.0,0.0,Repaid
589,16000000.0,0.0,0.0,Repaid
590,14000000.0,7456637.78,2355642.22,Disbursed
591,20000000.0,0.0,0.0,Repaid
592,9000000.0,3000000.0,0.0,Repaid
593,9000000.0,0.0,3105000.0,Disbursed
594,8100000.0,0.0,2794500.0,Disbursed
595,15500000.0,0.0,5347500.0,Disbursed
596,7500000.0,63832.71,0.0,Repaid
597,24000000.0,0.0,8280000.0,Disbursed
598,9000000.0,1419391.27,0.0,Repaid
599,23000000.0,975767.61,19824392.39,Disbursed
600,10000000.0,0.0,3600000.0,Disbursed
601,4500000.0,347035.21,1495067.47,Disbursed
602,8000000.0,1731099.27,0.0,Repaid
603,5000000.0,0.0,0.0,Repaid
604,7000000.0,0.0,0.0,Repaid
